code,iso,country,AMP,APR,BCA,BHV,BLC,CDA,CDO,CH4,CHA,COE,CXN,EEZ,FGA,FOG,GDB,GDP,GHG,GHI,GHN,GHP,GIB,GL5,GPC,GRA,GRL,HAD,MPA,MSW,NDA,NOE,NOT,NOX,NXA,OCP,OZD,PAR,PBD,PDN,PMD,POP,PST,REC,SDA,SO2,SOE,SPI,SPU,TBG,TBN,TC5,TCC,TCL,USD,UWD,VOE,WL5,WTA,WTL,WWT
268,GEO,Georgia,0.0,15.07769407,0.0205722365273999,0.387073,2.36796149931628,0.035398869028054,12400.0,116.0,-0.0048567012427331,0.134877815,0.808,22964.736041646,-0.170921635099668,26.3,0.0357782325152798,52327668866.7403,17473.39,3.13354037772995e-07,28701.0770909091,17473.39,-0.0197396751506824,32.2997849999992,14089.3023335327,5488.11848,0.0012558454388163,667.228353655616,0.0,0.505,0.0009925023005306,0.006697405,6.93,49.0185477867692,0.103217854097226,0.001052436,29.0442632345843,0.105128,180.630381686499,53.1402850474182,1294.57177535602,3714000.0,3.28,0.8035,0.0532559368294576,6.64068185018433,0.005521341,25.38,3.28,9.18829686268899,9.18217091834143,1446.0,225.0,8.88872496588352e-05,79.0516951091116,99.4798486583418,0.01629412,0.42715179999999,96.882765,0.0009587600162613,0.4664
270,GMB,Gambia,0.0,9.489078488,0.0139080959062587,0.286671,2.1247538595629,0.0486873309801146,671.0,57.7,0.007444390293315,0.174622331,0.808,23095.1519930729,0.043415761500372387,12953.712580152673,0.0344549227673063,5218645522.23822,2600.8,4.98366863378095e-07,3719.53175757576,2600.8,-0.0112047461799107,1.99999994343614e-09,2159.44190927585,1.13148314,1.21168429698891e-10,3930.66184349183,0.0,0.994,0.0005802728631192,0.004285084,1.32,6.65942994377488,0.0203289267416558,0.003417453,36.8947632346333,0.125998,305.177792641505,224.582539301402,1257.20957842175,2416664.0,2.85,0.8701,0.0157045284222601,2.2744071843783,0.013373563,34.86,2.85,15.4380265475419,7.27899095997457,737.0,143.0,0.0048377038957629,942.060557356985,1347.65879975028,0.020742023,0.188549880000004,42.321457,0.0008701328098397,0.0794135750364151
275,PSE,State of Palestine,0.0,27.39477084,-0.007743839153592417,0.451279,27.617290172999354,0.024957131866480273,180283.817635468,1769.7034270935962,0.007220692724283166,0.376605962,0.808,1123.59848515563,0.043415761500372387,12953.712580152673,0.0242287782053854,25909177323.6241,250973.8485200936,5.394391850979916e-07,353041.9379850016,250973.8485200936,-0.015990366955703182,1.99999994343614e-09,5394.07168818238,1.23685145,3.0319786388005003e-10,34.7568229919638,0.0,0.743,0.005121366644986835,0.057404362,51.99562385714284,467.689587698333,-0.003460989515256338,0.013265458,33.2708485147075,0.0923498,364.457276538483,769.941822663279,2058.35341299649,4803269.0,3.99,0.9853,-0.02665922416101764,345.22516912638446,0.100464856,46.60120786516853,3.99,7.67252641263931,8.24121999906329,6.0,1.0,0.001058201058201,23.0304532120594,133.544308789665,0.015382368,52.15160570027412,10938.094876642459,0.0031117136931471307,0.143341654134376
276,DEU,Germany,25278.9737378631,14.26452383,-0.0705793691855712,0.361814,28.3548532579502,-0.021691510835475,683000.0,2460.0,-0.0238920964227292,0.150969142,0.808,56636.6606115836,0.0017194175262937,29200.0,0.0126972261148734,4276401015885.43,814602.0,1.81783188232402e-07,512354.818181817,814602.0,-0.0273532288152151,162.639089999997,51374.0274449907,48020.5074,0.0006850769342654,0.403018633531409,44.6335879709209,0.0153,-0.0126844388713263,0.018388353,130.0,905.632119319613,-0.0651151024163266,0.018422318,17.523847534355,0.210437,34.0822536317854,233.318620207491,334.522656046996,83240525.0,1.8,0.5023,-0.0807452280836365,265.315980481307,0.002418887,89.39,1.8,17.0,17.0,408808.0,187331.0,0.0063303325233205,1.29305653017932,2.67468822811935,0.005416934,24.4184570000002,1034.503578,0.0046316201986466,0.97
288,GHA,Ghana,259.849101048813,0.196519428,0.0149787146849685,0.38073,11.7143148254624,0.058236436044385,18700.0,645.0,0.0471195894321301,0.242346277,0.808,228995.928003126,0.0572267680862986,24.9,0.0499237158276045,164841461285.895,41483.2,2.52698102090318e-07,90675.164848485,41483.2,-0.0090973544868611,5.29992209,5304.98352460299,33.0967367,0.0141109392295644,1977.94306628119,0.113473240906391,0.9514,0.0212779369830041,0.003990337,19.1,115.068386056688,0.0171987206823065,0.014553673,46.4790205532517,0.135371,145.113506054256,129.542804234678,2172.54656272723,31072945.0,1.41,0.8666,-0.0011576485425299,51.5822952715429,0.002168187,77.185,4.36,14.0815503287131,13.0751239931064,681762.0,150798.0,0.016566328845863,807.135114739069,1204.22292855434,0.038521533,0.864594929999996,44.826625,0.0002348264112584,0.03
296,KIR,Kiribati,400613.130210225,9.924773144773807,-0.0184021774413949,0.468496,0.043577101570571,0.0487767734198994,96.0,1.06,0.0225683460977204,0.058200616,0.808,3462729.8966485,0.043415761500372387,12953.712580152673,0.0359656391650802,273759149.655186,131.5205,4.92617630958477e-07,255.029835757576,131.5205,0.0028358325544271,541.3437357712127,2291.90721878661,67441.77525922241,0.003201023629010216,5729.81656494408,11.5692861461118,0.9915,0.0183805453065851,1.37e-05,0.0245,0.546006687879155,-0.0314735226589306,0.00082723,61.9796602309905,0.0281018333333333,305.995761966321,117.367512957067,784.738162693256,119446.0,2.2804819277108437,0.846,0.0516608230810138,0.482838006493688,0.000143269,0.0,2.9127710843373493,17.0,17.0,0.0,0.0,0.005475921358618431,1111.90601341379,1760.66956966565,0.000537801,52.15160570027412,10938.094876642459,0.0031117136931471307,0.0450788498707433
300,GRC,Greece,19584.50823615,10.57968665,-0.0481412038608555,0.33503,2.40602489501904,-0.0088488262771354,70600.0,446.0,-0.0125184295712362,0.140648109,0.808,483849.415696166,0.0130565563052425,2690.0,-0.0062331922048347,292396079249.754,89625.4,2.81239521840161e-07,63066.6085950413,89625.4,-0.011748530232758,28.4411190000001,27287.0834009302,6504.43665,0.0008860895589094,3.83141220302459,4.04764532121459,0.095,-0.0165515821478773,0.009237983,15.4,183.613125149881,-0.0088094915121779,0.008170185,20.7856173096054,0.12482,81.4563743887727,80.770232476632,523.76557720241,10715549.0,3.37,0.7755,-0.0114540811362027,108.208646890339,0.008693983,68.745,3.37,17.0,17.0,41506.0,6223.0,0.0019289352840492,2.30615717512574,1.67685695041227,0.010602595,1.2696866,194.700713,0.0013118742530057,0.81664
304,GRL,Greenland,127.941192423279,9.924773144773807,-0.007743839153592417,0.951746,0.0,0.024957131866480273,180283.817635468,1769.7034270935962,0.007220692724283166,0.099407313,0.808,2257929.57520057,0.043415761500372387,12953.712580152673,0.02654392522916367,675597446832.1637,250973.8485200936,5.394391850979916e-07,353041.9379850016,250973.8485200936,-0.015990366955703182,0.164070000002539,19405.30029441189,26331.8994,1.24616912369443e-06,15.7778325227598,0.0056663057089331,0.12,0.005121366644986835,0.00085503,51.99562385714284,0.0126382311929014,-0.003460989515256338,0.000194862,28.4535181749049,0.306967,123.163900889778,0.0261734215177209,261.952958936027,56367.0,2.2804819277108437,0.6743,-0.02665922416101764,0.00213516,0.000225397,46.60120786516853,2.9127710843373493,17.0,17.0,0.0,0.0,0.005475921358618431,15.4747057222384,8.42673457615197,0.000778978,0.0,1031.046075,0.0,0.2482152393921744
308,GRD,Grenada,29.7642466648031,9.924773144773807,0.0005290111878488,0.438013,0.0374460606221435,0.014111871624614,304.0,1.96,0.0074256134085035,0.076707607,0.808,25730.9431051508,0.016335759554083,3.05,0.0326937683312365,1695196846.35084,375.0767,1.96409486823473e-07,505.211073939394,375.0767,-0.0253710379361324,0.0,15065.8719536331,13.4597901,0.0,63.3481153315513,0.115674915385612,0.4051,-0.0075740354538079,0.000363183,0.0539,2.78063339390374,-0.005764275988147,0.000143173,2.61172901104275,0.218079,250.438638167509,311.050028214421,1319.89483391991,112519.0,2.2804819277108437,0.8494,-0.0886612335628665,0.287049968899549,0.000578197,11.66,2.9127710843373493,2.480775032148,8.1756475167372,238.0,19.0,0.0016430223326775,76.7537855823193,185.376803285967,0.00115651,52.15160570027412,10938.094876642459,0.0031117136931471307,0.150705026448816
320,GTM,Guatemala,16.9393978572231,32.40230586,0.0250783008566113,0.422353,32.7610452079237,0.0574224108419883,17800.0,652.0,0.0261940353762304,0.243540867,0.808,111341.779578433,0.0562127818772691,1470.0,0.0324185443186786,141496787478.451,41618.1,2.89658763791542e-07,83336.3406060607,41618.1,0.002716350874717,65.5187700000006,8393.28464317623,4354.66648,0.0038666985303164,1369.54428633981,0.01521387382289,0.7816,0.0167614391419422,0.013439651,16.9,161.820284901376,0.0547479052313817,0.0207674,8.43394665377891,0.170799,397.593402585657,153.566532066504,933.778247187918,16858333.0,3.66,0.896,0.049270682429899,99.6502794899538,0.007734426,29.85,3.66,8.60346614839701,13.0352283733442,521927.0,99213.0,0.0131311639562032,414.4286654428,708.3991095388,0.090956591,0.841000899999983,198.251798,0.0007627983526863,0.068
